pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
852;1000;77;0.077
853;1000;42;0.042
854;1000;47;0.047
855;1000;93;0.093
856;1000;15;0.015
857;1000;8;0.008
858;1000;2;0.002
859;1000;11;0.011
860;1000;91;0.091
861;1000;16;0.016
862;1000;86;0.086
863;1000;86;0.086
864;1000;1;0.001
865;1000;84;0.084
866;1000;86;0.086
867;1000;76;0.076
868;1000;85;0.085
869;1000;86;0.086
870;1000;65;0.065
871;1000;17;0.017
872;1000;60;0.06
873;1000;88;0.088
874;1000;12;0.012
875;1000;47;0.047
876;1000;55;0.055
877;1000;84;0.084
878;1000;10;0.01
879;1000;96;0.096
880;1000;81;0.081
881;1000;21;0.021
882;1000;91;0.091
883;1000;66;0.066
884;1000;52;0.052
885;1000;85;0.085
886;1000;49;0.049
887;1000;5;0.005
888;1000;17;0.017
889;1000;8;0.008
890;1000;20;0.02
891;1000;90;0.09
892;1000;34;0.034
893;1000;37;0.037
894;1000;95;0.095
895;1000;41;0.041
896;1000;91;0.091
897;1000;56;0.056
898;1000;84;0.084
899;1000;82;0.082
900;1000;91;0.091
901;1000;85;0.085
902;1000;82;0.082
903;1000;62;0.062
904;1000;81;0.081
905;1000;36;0.036
906;1000;66;0.066
907;1000;10;0.01
908;1000;98;0.098
909;1000;87;0.087
910;1000;0;0
911;1000;0;0
912;1000;61;0.061
913;1000;85;0.085
914;1000;8;0.008
915;1000;37;0.037
916;1000;32;0.032
917;1000;27;0.027
918;1000;83;0.083
919;1000;9;0.009
920;1000;82;0.082
921;1000;83;0.083
922;1000;82;0.082
923;1000;83;0.083
924;1000;84;0.084
925;1000;1;0.001
926;1000;0;0
927;1000;48;0.048
928;1000;9;0.009
929;1000;49;0.049
930;1000;40;0.04
931;1000;24;0.024
932;1000;13;0.013
933;1000;108;0.108
934;1000;62;0.062
935;1000;6;0.006
936;1000;65;0.065
937;1000;92;0.092
938;1000;81;0.081
939;1000;3;0.003
940;1000;61;0.061
941;1000;0;0
