pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
978;1000;14;0.014
979;1000;81;0.081
980;1000;37;0.037
981;1000;157;0.157
982;1000;17;0.017
983;1000;88;0.088
984;1000;64;0.064
985;1000;83;0.083
986;1000;55;0.055
987;1000;172;0.172
988;1000;140;0.14
989;1000;119;0.119
990;1000;110;0.11
991;1000;63;0.063
992;1000;168;0.168
993;1000;11;0.011
994;1000;96;0.096
995;1000;115;0.115
996;1000;121;0.121
997;1000;175;0.175
998;1000;33;0.033
999;1000;93;0.093
